#=================================================================
# Freeform
# Date: May 20 2019 - May 20 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Device Orders + Office (Visitor),Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
,Paid Orders_SJ (Visit),Free Revenue,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
6ce98d7493244e6faef22df9f174902e,0,0,0,1,0,1,0,0,0,31,,2,0,0,0,0,0,0
af0e7264bf874fe38b8d834f6b52c157,0,0,0,1,0,1,0,0,0,31,,2,0,0,0,0,0,0
f5d8128b91ff411989a81321d7f0890f,0,0,0,1,0,1,0,0,0,27,,6,0,0,0,0,0,0
82065344e3b046ed8ca70e34edcb9b33,0,0,0,1,0,1,0,0,0,26,16,4,0,0,0,0,0,0
2fc0b99bbc0c4f77bd52fbfc1028edd8,0,0,0,1,0,1,0,0,0,23,,21,0,0,0,0,1,0
b97676d8ca19c14589380d853f215902,0,0,0,1,0,1,0,0,0,23,,2,0,0,0,0,0,0
bbca7f807bda4a03996bcb75f95f3d44,0,0,0,1,0,1,0,0,0,22,,4,0,0,0,0,0,0
5bc0ace8b66e483eb707b0a7dc420fe9,0,0,0,1,0,1,0,0,0,22,,3,0,0,0,0,0,0
85b2d88aae0342d5a6e5573cb9a3ec66,0,0,0,1,0,1,0,0,0,22,,1,0,0,0,0,0,0
8b478b40dd26460ba2619ff0619b1a08,0,0,0,1,0,1,0,0,0,21,,3,0,0,0,0,0,0
7cfd9a57d6684bcc9cb773436b905f11,0,0,0,1,0,1,0,0,0,19,19,1,0,0,0,0,0,0
5480ed27ed56491e8d67a9fef9b5674d,0,0,0,1,0,1,0,0,0,17,4,2,0,0,0,0,0,0
e0333fcb53fa4614b11b79f1b89925c9,0,0,0,1,0,1,0,0,0,17,,1,0,0,0,0,0,0
1b8ad8acdf544556bfd063de3cc86a5e,0,0,0,1,0,1,0,0,0,16,16,0,0,0,0,0,0,0
4fc3d103e6a64e8e993bfff093c7ad2b,0,0,0,1,0,1,0,0,0,16,,8,0,0,0,0,0,0
225d36634604485d835b5e8de934c715,0,0,0,1,0,1,0,0,0,15,15,3,0,0,0,0,1,0
c6f6fae429012546a49607ea10465a3a,0,0,0,1,0,1,0,0,0,13,,5,0,0,0,0,0,0
8bc3ba0414f0475eb32f1d4e3b635b33,0,0,0,1,0,1,0,0,0,13,,5,0,0,0,0,0,0
e15b291e818c4d2ebde6fa8f637afeb2,0,0,0,1,0,1,0,0,0,12,12,1,0,0,0,0,0,0
7063343c099f4ac182edaf4226a86c77,0,0,0,1,0,1,0,0,0,12,,4,0,0,0,0,0,0
2a3fdce33a1545dcb1e4a19496aa9d8b,0,0,0,1,0,1,0,0,0,12,,2,0,0,0,0,0,0
4c668571074f446ab7098ca76ea049cc,0,0,0,1,0,1,0,0,0,11,,3,0,0,0,0,0,0
b996d80cd1be4045b6b185a0f863e8c0,0,0,0,1,0,1,0,0,0,10,,9,0,0,0,0,0,0
013a5d60c14641f486f2f3a722feaf0e,0,0,0,1,0,1,0,0,0,9,,3,0,1,0,1,0,0
658e24aac3574f4aaf38ee382cc4d0d5,0,0,0,1,0,1,0,0,0,9,,2,0,0,0,0,0,0
063dd0e8cd2d4af0a9ee3c53dc7a2d49,0,0,0,1,0,1,0,0,0,9,,1,0,0,0,0,0,0
dfb65fdb995c4a5d84a9ccd9c03b3fc2,0,0,0,1,0,1,0,0,0,8,8,1,0,0,0,0,0,0
3ebd7a3b7bb04ab5a9ba98ac6f7304c6,0,0,0,1,0,1,0,0,0,8,,12,0,0,0,0,0,0
47e8c0de92bb4199a899a2b347496edc,0,0,0,1,0,1,0,0,0,8,,4,0,0,0,0,0,0
183637a2813e4a2594c9dce1d6ab27ac,0,0,0,1,0,1,0,0,0,8,,2,0,0,0,0,0,0
