#=================================================================
# O365 Home - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
e4d4dd1cc5da4a1db6497e609df16b12,0,0,1,1,0,0,0,1,0,0,1,0,1149,920,25,0,0,0,0,0,0,0
b0a3ff5e2e07487eac2239521d9f3fe0,0,0,1,1,0,0,0,1,0,0,1,0,1070,,9,0,0,0,0,0,0,0
e5d75f2c193349eeab458b0cc0e33dea,0,0,1,1,0,0,0,1,0,0,1,0,987,39,182,0,0,0,0,0,0,0
4f38e004852846ac8fc68a0e148a2856,0,0,1,1,0,0,0,1,0,0,1,0,881,45,5,0,0,0,0,0,0,0
94c5fecd4b804070b8f857406e3428f5,0,0,1,1,0,0,0,1,0,0,1,0,757,,13,0,0,0,0,0,0,0
63b9f4d6c99742b694103a4e516889c4,0,0,1,1,0,0,0,1,0,0,1,0,723,40,53,0,0,0,0,4,0,0
d7cb52310e16488385822a3fd01b7dc1,0,0,1,1,0,0,0,1,0,0,1,0,693,1,8,0,0,0,0,0,0,0
e4e57f2cd33546f480fa3a8b8b4ff277,0,0,1,1,0,0,0,1,0,0,1,0,641,,9,0,0,0,0,0,0,0
db187c6cd8434dabb87bae51819aa07a,0,0,1,1,0,0,0,1,0,0,1,0,636,48,8,0,0,0,0,0,1,0
f63ce6a08e4440918d2dfba72493033f,0,0,1,1,0,0,0,1,0,0,1,0,595,,74,0,0,0,0,0,0,0
ab0026ed581e417f9f6d43951efb0854,0,0,1,1,0,0,0,1,0,0,1,0,546,,202,0,0,0,0,0,0,0
01683dd566034aafabfa12d7fb2786dc,0,0,1,1,0,0,0,1,0,0,1,0,422,,38,0,0,0,0,0,0,0
841431a5c76e49f8aab5bd46558a70d0,0,0,1,1,0,0,0,1,0,0,1,0,416,,10,0,0,0,0,1,0,0
6dae7de5539e4136b940547d075b5d67,0,0,1,1,0,0,0,1,0,0,1,0,380,9.5,5,0,0,0,0,0,0,0
a24622eca19c422192ae4dbd27f4e2bc,0,0,1,1,0,0,0,1,0,0,1,0,378,,7,0,0,0,0,0,0,0
c7586199e99b4ba181efb59afe0d52a4,0,0,1,1,0,0,0,1,0,0,1,0,356,,4,0,0,0,0,0,2,0
144e2c7e4f3f426495bd6d3dbfdb570f,0,0,1,1,0,0,0,1,0,0,1,0,355,10,55,0,0,0,0,2,0,0
6e5cf9c98462441f88bed8d88ea82567,0,0,1,1,0,0,0,1,0,0,1,0,314,257,14,0,0,0,0,0,0,0
0c2f0408683c4260b5d68254415c3f17,0,0,1,1,0,0,0,1,0,0,1,0,294,,10,0,0,0,0,0,0,0
8e23ae51f3bf4ee590ded199df8615f0,0,0,1,1,0,0,0,1,0,0,1,0,274,,9,0,0,0,0,0,0,0
93da563340f442ec93b21e708d492b55,0,0,1,1,0,0,0,1,0,0,1,0,269,,23,0,0,0,0,0,0,0
d1e186b01e1444eb9e545c9d14a8d233,0,0,1,1,0,0,0,1,0,0,1,0,265,,3,0,0,0,0,0,0,0
2a44e25998984e2e98804c3e029fb322,0,0,1,1,0,0,0,1,0,0,1,0,240,,25,0,0,0,0,0,0,0
d432a51b7c3d418f81cab5edd752ac3d,0,0,1,1,0,0,0,1,0,0,1,0,235,,18,0,0,0,0,0,0,0
7eb0f51723ed4f7fb1a799398b864446,0,0,1,1,0,0,0,1,0,0,1,0,221,,14,0,0,0,0,0,0,0
2c83690f73f44e4fb391969c116262ed,0,0,1,1,0,0,0,1,0,0,1,0,207,113,3,0,0,0,0,0,0,0
176a344c5fde4fe5bf7327b84b16d430,0,0,1,1,0,0,0,1,0,0,1,0,206,50,9,0,0,0,0,0,0,0
2de03bec01ad4cbaaf7306aff6c8230a,0,0,1,1,0,0,0,1,0,0,1,0,204,,17,0,0,0,0,0,0,0
84a84f29207e49d8a6b857e7b62e0c7e,0,0,1,1,0,0,0,1,0,0,1,0,198,,4,0,0,0,0,0,2,0
6bd8471dd73c44a5a8aecc4574ddaf3a,0,0,1,1,0,0,0,1,0,0,1,0,191,,21,0,0,0,0,0,0,0
852d40a5d75e4617b314adb4c222be21,0,0,1,1,0,0,0,1,0,0,1,0,158,35,6,0,0,0,0,0,0,0
c08e1e4620ac4e64b5543bd0542f6804,0,0,1,1,0,0,0,1,0,0,1,0,153,,41,0,0,0,0,0,0,0
53cd66e184824e048298c045f9d6ca7d,0,0,1,1,0,0,0,1,0,0,1,0,151,43.5,6,0,0,0,0,0,0,0
362fc03429d346e9a60889f09310805c,0,0,1,1,0,0,0,1,0,0,1,0,151,,9,0,0,0,0,0,0,0
f7cfc5305f3ddd438d209930f02b0f6d,0,0,1,1,0,0,0,1,0,0,1,0,123,,14,0,0,0,0,0,0,0
f324430ea8ad4253befc1c8078aa6003,0,0,1,1,0,0,0,1,0,0,1,0,123,,6,0,0,0,0,0,0,0
8ab7e9cbab924444a31ecacfc3b0dfcd,0,0,1,1,0,0,0,1,0,0,1,0,118,9.5,6,0,0,0,0,0,0,0
99c8ef1ae9d340678b37f03acef9068e,0,0,1,1,0,0,0,1,0,0,1,0,113,4,11,0,0,0,0,0,0,0
d030feb4ed77427cb1b0ab1767c34e4a,0,0,1,1,0,0,0,1,0,0,1,0,107,,3,0,0,0,0,0,0,0
f290c939d7684bdc955f7e4873ad49a4,0,0,1,1,0,0,0,1,0,0,1,0,106,,8,0,0,0,0,0,0,0
34901307d3c2431b8f732f026212e853,0,0,1,1,0,0,0,1,0,0,1,0,95,5,13,0,0,0,0,0,0,0
dbcea13b67e84a69b3f530d531ad5073,0,0,1,1,0,0,0,1,0,0,1,0,94,14,8,0,0,0,0,0,0,0
6bd2ec44120d4c3794ea31ab121d1516,0,0,1,1,0,0,0,1,0,0,1,0,89,,7,0,0,0,0,0,0,0
41dde0009e974dcf88f540650f79ddf8,0,0,1,1,0,0,0,1,0,0,1,0,86,,13,0,0,0,0,0,1,0
89e8b383a0e54be48dd5186cd1dd5d5f,0,0,1,1,0,0,0,1,0,0,1,0,77,,11,0,0,0,0,1,1,0
c0052608256a44a799c6ad0915232ade,0,0,1,1,0,0,0,1,0,0,1,0,77,,4,0,0,0,0,0,0,0
94835492854c4e42bde7480b82d58301,0,0,1,1,0,0,0,1,0,0,1,0,76,,7,0,0,0,0,0,0,0
473327eae448456b98fa534bde89aae8,0,0,1,1,0,0,0,1,0,0,1,0,71,,3,0,0,0,0,0,0,0
e1d0218ce54645d9b2551681bd6ef91f,0,0,1,1,0,0,0,1,0,0,1,0,69,8,24,0,0,0,0,0,0,0
3b468b2ce1ff4e8197a4fec2cf610356,0,0,1,1,0,0,0,1,0,0,1,0,68,,1,0,0,0,0,0,0,0
b5e52e6402b1954fbf33c90ba82daa61,0,0,1,1,0,0,0,1,0,0,1,0,57,,0,0,0,0,0,0,0,0
54b26fc9e179461288dd1f52a97a6fed,0,0,1,1,0,0,0,1,0,0,1,0,56,,1,0,0,0,0,0,0,0
579c9472068441efb6d36b2eeb4eb154,0,0,1,1,0,0,0,1,0,0,1,0,52,,0,0,0,0,0,0,0,0
dd9af772eeb648e4991059b822853659,0,0,1,1,0,0,0,1,0,0,1,0,51,2,0,0,0,0,0,0,0,0
81f7857b40cb40baaef1a9f3a8d7d983,0,0,1,1,0,0,0,1,0,0,1,0,51,,10,0,0,0,0,0,0,0
2006503f05cf4efaa51ca3b3e1999f39,0,0,1,1,0,0,0,1,0,0,1,0,42,,1,0,0,0,0,0,0,0
