MC1ID,Paid Order Exists,Try Exists,Total Visits,New Visitors,Return Visitors,Enter PDP from Office.com,Enter PDP from Store,Enter PDP from O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks on OverviewTab,Link Clicks on TechSpecsTab,Link Clicks on ReviewTab,Link Clicks on FAQTab,Link Clicks on AddtoCartButton,Link Clicks on Trial link
872d395229a0437b8645effbd7bd82fe,0,0,1,0,1,0,1,0,809,809,56,0,0,0,0,2,0
d8d13efcab3d4825a6521886843e74e5,0,0,1,0,1,0,1,0,589,589,22,0,0,0,0,1,0
a721bdf90e0344e68a9093c7ddb4e7e4,0,0,1,0,1,0,1,0,586,586,5,0,0,0,0,0,0
cf4e64ded5224dc0b89c285c7cc34b05,0,0,1,0,1,0,1,0,585,585,8,0,0,0,0,0,0
d703f1be2c77471e9babf4a3b2ef2f25,0,0,1,0,1,0,1,0,553,553,59,0,0,0,0,0,0
a368965a36d7462d97c6b84aae9da43e,0,0,1,0,1,0,1,0,551,551,9,0,0,0,0,0,0
3c95842a18c349fd9ee9530366591575,0,0,1,0,1,0,1,0,547,547,0,0,0,0,0,0,0
c421270c277e44c4a0dae6c198a3bfed,0,0,1,0,1,0,1,0,528,528,25,0,0,0,0,0,2
a6f9772c2c594ad5bad4f5c95b733b6f,0,0,1,0,1,0,1,0,492,492,20,0,0,0,0,2,0
c6fec82fadf64d7fb6b37c6f18981ddd,0,0,1,0,1,0,1,0,490,245,12,0,0,0,0,0,0
e4c8aaa8089946c1b5d5be23ceab18b4,0,0,1,0,1,0,1,0,440,440,32,0,0,0,0,0,0
a49bc76aa389446589fe4dc3ba80217b,0,0,1,0,1,0,1,0,435,435,17,0,0,0,0,0,0
e5c788a0f7f94f5c879aecfbe3ad736c,0,0,1,0,1,0,1,0,424,424,70,0,0,0,0,0,0
7fbaff3a6bd3473a8fb321e3d73be939,0,0,1,0,1,0,1,0,390,390,26,0,0,0,0,0,0
b30afeebb710475b8096c108991d900b,0,0,1,0,1,0,1,0,360,360,5,0,0,0,0,0,0
8e4f8f9c3d62434a8a9c2bac97962f61,0,0,1,0,1,0,1,0,344,344,0,0,0,0,0,0,0
b6b665e827964eb4aa47de1f69b6cd36,0,0,1,0,1,0,1,0,333,333,5,0,0,0,0,0,0
b4433205c7e0484c99627bacaca40460,0,0,1,0,1,0,1,0,333,111,18,0,0,0,0,0,0
e60ad8dd41734e6baeca976557f79eff,0,0,1,0,1,0,1,0,324,162,17,0,0,0,0,0,0
d157be68df824d8091ffc6beb58d1223,0,0,1,0,1,0,1,0,322,322,6,0,0,0,0,0,0
7f18fc6ea147479390a71bab0fe2b20b,0,0,1,0,1,0,1,0,305,305,1,0,0,0,0,0,0
66b5fe7b4c254adba73989bc359b22a3,0,0,1,0,1,0,1,0,285,285,4,0,0,0,0,0,0
1cf1be73ab6c468f8e1701ddea9324eb,0,0,1,0,1,0,1,0,274,13.7,44,0,0,0,0,0,0
f7a4dc4107714e6181a86a1aaecc094b,0,0,1,0,1,0,1,0,271,271,10,0,0,0,0,0,0
0d178f514376477bae49e262ffc201bd,0,0,1,0,1,0,1,0,267,16.6875,24,0,0,0,0,0,0
45d43b8e28bc445da5f8832ed43f3b7c,0,0,1,0,1,0,1,0,265,265,12,0,0,0,0,0,0
e81dba6374294241b94b452e3159d68f,0,0,1,0,1,0,1,0,265,37.85714286,5,0,0,0,0,0,0
cce2720aaa344f41874d0a571cdd57b4,0,0,1,0,1,0,1,0,245,245,6,0,1,0,0,0,0
5428333257464180aa594746e4e2ee26,0,0,1,0,1,0,1,0,238,238,4,0,0,0,0,0,0
686e4bca8e874232af386f1d05deb734,0,0,1,0,1,0,1,0,233,233,4,0,0,0,0,0,0
bcd9b59d12074be4a03fa110e91db578,0,0,1,0,1,0,1,0,231,231,34,1,0,0,0,0,0
1d6c34ab25e246a390374564c8559357,0,0,1,0,1,0,1,0,231,115.5,17,0,0,0,0,0,0
78039c222f8645e29319756cf2160cc1,0,0,1,0,1,0,1,0,208,208,19,0,0,0,0,0,0
d6936b601b8f4463bad65ed00937e5f9,0,0,1,0,1,0,1,0,208,8,41,0,0,0,0,0,0
7778c3255012484db69cdfea4618593a,0,0,1,0,1,0,1,0,199,199,19,0,0,0,0,0,0
273041867e984f8ba9d669bd1da2501f,0,0,1,0,1,0,1,0,198,198,0,0,0,0,0,0,0
2046feb628a74623b2b8624147c807d0,0,0,1,0,1,0,1,0,186,186,5,0,0,0,0,0,0
aa2d037d6e1b4148bb1b1683e2031d71,0,0,1,0,1,0,1,0,185,61.66666667,20,0,0,0,0,0,0
0b98879cb417407ea30a2eeadf63b070,0,0,1,0,1,0,1,0,178,178,4,0,0,0,0,0,0
c989dcb37d0f4d09bdd7b0cd983eed69,0,0,1,0,1,0,1,0,177,177,12,0,0,0,0,0,0
cdbcd18703554d83803361308b9e7d1a,0,0,1,0,1,0,1,0,165,165,9,0,0,0,0,0,0
b42ff922c5681f408dfe09c47fc26adc,0,0,1,0,1,0,1,0,151,151,24,0,0,0,0,0,0
383e1bfade7248168e76e091d07e9f02,0,0,1,0,1,0,1,0,148,148,4,0,0,0,0,0,0
7e9c4ab7d3e44b369e9ba09577c34c12,0,0,1,0,1,0,1,0,148,74,17,0,0,0,0,2,0
cbe7d43c60734100b05074f968620b59,0,0,1,0,1,0,1,0,146,146,6,0,0,0,0,0,0
d49dbc4c941d41a38ae01ab601892a71,0,0,1,0,1,0,1,0,146,146,4,0,0,0,0,0,0
4ebd06f427594ef88d145599e9ca5d3e,0,0,1,0,1,0,1,0,146,146,0,0,0,0,0,0,0
a37da6218e7048d4bcdde0dcfe6a5e93,0,0,1,0,1,0,1,0,142,142,31,0,0,0,0,0,0
f5a740193d26499db6dabc6a47ee8299,0,0,1,0,1,0,1,0,141,5.875,40,0,0,0,0,0,0
ba7a357cff12914e8c902f5b7540c0f4,0,0,1,0,1,0,1,0,138,138,15,0,0,0,0,0,0
84383ead218a424487f8462210d213fe,0,0,1,0,1,0,1,0,119,119,50,0,0,0,0,0,0
9c2424318e314e6882113f8b619cf301,0,0,1,0,1,0,1,0,117,117,2,0,0,0,0,0,0
a0ada20bbd454327b19e83e4e2221a59,0,0,1,0,1,0,1,0,112,112,2,0,0,0,0,0,0
f521184934894b28bfc349cf3be153ec,0,0,1,0,1,0,1,0,109,109,7,0,0,0,0,1,0
5c7eaa7842ae42f2b80bc2cd44e3e115,0,0,1,0,1,0,1,0,108,108,3,0,0,0,0,0,0
3e7e985df62046efa286031059645110,0,0,1,0,1,0,1,0,105,105,1,0,0,0,0,0,0
2ca91070d75544a4a97dd7baefc0bdeb,0,0,1,0,1,0,1,0,104,104,1,0,0,0,0,0,0
1fd96445512f444e961f803a341dc2fe,0,0,1,0,1,0,1,0,91,30.33333333,14,0,0,0,0,0,0
6955881e038245fd98f1150dff683f6f,0,0,1,0,1,0,1,0,89,89,29,0,0,0,0,2,0
bf2d4047d3344ee9a8f91c320c89be70,0,0,1,0,1,0,1,0,89,89,3,0,0,0,0,0,0
f34f20527c8a4195bd50b0aa4ec86d6c,0,0,1,0,1,0,1,0,82,9.111111111,21,0,0,0,0,0,0
59496fd52c7047689bc240fc154420b2,0,0,1,0,1,0,1,0,78,78,11,0,0,0,0,0,0
10eb4cac41874522bbc91a5a5beecf35,0,0,1,0,1,0,1,0,75,75,5,0,0,0,0,0,0
17d785e456c44827a5bc7aca6476255f,0,0,1,0,1,0,1,0,68,22.66666667,2,0,0,0,0,0,0
d1521db971f94d29bd354ee1b92eddc1,0,0,1,0,1,0,1,0,66,22,34,0,0,0,0,0,0
74066734dac843e187fc867b184754d9,0,0,1,0,1,0,1,0,65,65,7,0,0,0,0,0,0
a5061e445b2442188f9be85ac78485f6,0,0,1,0,1,0,1,0,61,61,9,0,0,0,0,0,0
