#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
4112f8ff08e146ad90e8c03f76971903,1,2,0,1,0,1,1,313,104.33333333333333,37,0,0,0,0,0
42b9dfe8489a4a878f73ce7ab0be1856,1,2,0,1,0,1,1,271,24.636363636363637,80,0,0,0,0,2
19ad0a2a0150415b9518ce3bf8ad36e9,1,2,0,1,0,1,1,48.5,48.5,23,0,0,0,0,0
0d7b5350c83d427f8bfd02d46efb48e6,1,2,0,1,0,1,1,16.5,16.5,7,0,0,0,0,0
32798f4f24fa44c6bfa7e8418861aed9,1,2,0,1,0,1,0,967.5,175.9090909090909,68,0,0,0,0,1
624d883412dd44448ede7dead569cd1f,1,2,0,1,0,1,0,583,291.5,44,0,1,0,0,1
e4c68df85b8a41938e1a57bf1f898243,1,2,0,1,0,1,0,544.5,77.78571428571429,73,0,0,0,0,2
0c5949b86b6d43d59556e9530c9cf4ba,1,2,0,1,0,1,0,498,498,39,0,0,0,0,0
2684b9ee5708438fbd9f89cbfc5b2a6a,1,2,0,1,0,1,0,368.5,61.416666666666664,50,0,0,0,0,1
64ff63ff428243d6bea7b99858f028f2,1,2,0,1,0,1,0,171,171,46,0,0,0,0,0
a9ea3e23400748ca8300f9591f12e64b,1,2,0,1,0,1,0,38,38,7,0,0,0,0,0
85f64c4c9e744963b72a95702b8b39df,1,2,0,1,0,0,2,1620.5,1080.3333333333333,90,0,0,0,0,1
2cff874d37fdbe4f9a9ebbdf998d11c2,1,2,0,1,0,0,2,1239.5,354.14285714285717,73,0,0,0,0,0
ed320234865c415aa3c95e09a5fe9202,1,2,0,1,0,0,2,822,822,63,0,0,0,0,0
efb28faf010348e7985682995f2f7953,1,2,0,1,0,0,2,811,540.6666666666666,97,0,0,0,0,0
630937d7ce194dde99fc09cae35a1a4c,1,2,0,1,0,0,2,666,666,48,0,0,0,0,0
a2ac0e890bb64a1fb0b636c95a86f149,1,2,0,1,0,0,2,378,378,61,0,0,0,0,0
9d54fe73568fbd479210fc5a119bbc95,1,2,0,1,0,0,2,91.5,91.5,29,0,0,0,0,0
0294a8249a004dcd820196afd926fceb,1,2,0,1,0,0,1,2405.5,1603.6666666666667,95,0,0,0,0,0
2ac99f79630c2f4792d64bf2ab93003e,1,2,0,1,0,0,1,1414.5,1414.5,44,0,1,0,1,0
189e2c1978af4b5daa9276e587f6df5f,1,2,0,1,0,0,1,997,498.5,38,0,0,0,0,0
a3f46da7c36c4956b34aada4eaba2e80,1,2,0,1,0,0,1,672.5,33.625,162,0,0,0,0,12
