#=================================================================
# Freeform
# Date: May 20 2019 - May 20 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
dac35d8382e74d6daf4f89962cf880bd,0,0,1,1,0,0,0,0,880,880,15,0,0,0,0,0,0
b33e766a483c46a2b5b0a057cd554fcc,0,0,1,1,0,0,0,0,878,878,8,0,0,0,0,0,0
f2304a25a3834a23b0a0503743f7d986,0,0,1,1,0,0,0,0,859,859,39,0,0,0,0,0,0
844e18cd36584d07b793115c23de9347,0,0,1,1,0,0,0,0,852,426,46,0,0,0,0,0,0
12e1a2d7de87134ab40f3bdd0cea0414,0,0,1,1,0,0,0,0,782,782,5,0,0,0,0,1,0
f590c428f7db446fae4c93b58aa3bfd1,0,0,1,1,0,0,0,0,757,757,6,0,0,0,0,1,0
bce51b527d154c30b571e8416e4f7b5c,0,0,1,1,0,0,0,0,743,743,22,0,0,0,0,1,0
f9b6676b1e2849238daee901d4b3af4f,0,0,1,1,0,0,0,0,736,184,24,0,1,0,0,0,0
fc95740a6fef43c3933db5940f983c51,0,0,1,1,0,0,0,0,704,704,12,0,0,0,0,0,0
651621c355e3408ebaca41a12a30e2cc,0,0,1,1,0,0,0,0,681,681,3,0,0,0,0,0,0
85db4e1ba5c649628df10f45eceb0441,0,0,1,1,0,0,0,0,632,316,67,0,0,0,0,0,0
50fe47a5df364d949a6fe8d6342cf382,0,0,1,1,0,0,0,0,630,630,35,0,0,0,0,0,0
96fac981bbd4465b95743301b775a66f,0,0,1,1,0,0,0,0,623,103.83333333333333,11,0,0,0,0,0,0
3aa93cfc44e3489285c5f925845b0976,0,0,1,1,0,0,0,0,611,305.5,31,0,0,0,0,0,0
c0cd5bb42c8b4ceea05237017e7600a6,0,0,1,1,0,0,0,0,607,202.33333333333334,3,0,0,0,0,0,0
eb118a86daa644138fb85f0c5da6e1fd,0,0,1,1,0,0,0,0,595,595,7,0,0,0,0,0,0
558e557ae62043e28fa4645e8a6cc12f,0,0,1,1,0,0,0,0,555,555,27,0,0,1,0,0,0
230eec619ea44b3ea52adf47971c997a,0,0,1,1,0,0,0,0,550,550,6,0,0,0,0,0,0
0294f7b0e12d9d42ba0ce921e56eed3a,0,0,1,1,0,0,0,0,545,545,17,0,0,0,0,0,0
568a0d8af833448cb734d62f3436f0f3,0,0,1,1,0,0,0,0,540,180,7,0,0,0,0,0,0
c64433712bbc49d1bc25d0ac1868a318,0,0,1,1,0,0,0,0,521,521,20,0,0,0,0,0,0
75604a0c343f4049a66c33f25a785f75,0,0,1,1,0,0,0,0,501,501,9,0,0,0,0,0,0
69856e7b67924c26b77b999ee709cc70,0,0,1,1,0,0,0,0,493,493,1,0,0,0,0,1,0
bc5a7897c9244802bddd89d6d6427aee,0,0,1,1,0,0,0,0,475,475,62,0,0,0,0,1,0
