#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
57104e79e22b45bdbadc56a1c173cc07,1,1,1,0,0,1,0,457,76.16666666666667,42,0,0,0,0,0
8590a4f28a6d4635a524a710b20a4b81,1,1,1,0,0,1,0,453,453,69,0,0,0,0,2
79d6ebd2d22d43639f6d0d814b10a024,1,1,1,0,0,1,0,449,449,38,0,0,0,0,0
8d56cd08f0ae472c9ffd9d573a841c54,1,1,1,0,0,1,0,447,447,32,0,0,0,0,0
e669478378184ea0b1a3cacac6bf8c7a,1,1,1,0,0,1,0,446,446,31,0,0,0,0,0
315c25b469d24166adf211bf998d0994,1,1,1,0,0,1,0,445,222.5,3,0,0,0,0,0
49af6db4d87c45419af4a092b4461c88,1,1,1,0,0,1,0,442,442,28,0,0,0,0,0
ba75953a612e429f9e9ff242adfc5954,1,1,1,0,0,1,0,441,25.941176470588236,45,0,0,0,1,0
3236e05d97fd4bf2af7fda635ed92e12,1,1,1,0,0,1,0,439,219.5,3,0,0,0,0,0
7d88eeb61bea47d1967ed7596531f867,1,1,1,0,0,1,0,435,435,42,0,0,0,0,0
8811b6872a404ad9979d37aa75777084,1,1,1,0,0,1,0,430,430,28,0,0,0,0,0
3a1b62fb08fb46feae375a2dec518e01,1,1,1,0,0,1,0,427,427,21,0,0,0,0,0
e4b1a664a87140adb496a05165a2faec,1,1,1,0,0,1,0,424,424,52,0,0,0,0,0
0f7bd9586a62455883d6ed7ce264aba1,1,1,1,0,0,1,0,424,35.333333333333336,14,0,0,0,0,0
e082042b19fb4c7e9c200d99e32ad60f,1,1,1,0,0,1,0,423,423,25,0,0,0,0,0
72e9a47a4b2f4a47a5a1c14191da8513,1,1,1,0,0,1,0,422,422,59,0,0,0,0,0
660b245baea24c348f33168c1046f327,1,1,1,0,0,1,0,421,421,14,0,0,0,0,0
a184e2f1297d456e9583369103044936,1,1,1,0,0,1,0,420,420,39,0,0,0,0,0
410abb89d69c4a8c9cbd9f090ada65f8,1,1,1,0,0,1,0,419,419,27,0,0,0,0,0
1468892174554770932432eab22e813e,1,1,1,0,0,1,0,417,208.5,33,0,0,0,0,0
d081e63062dc494e9310de77b040440d,1,1,1,0,0,1,0,416,416,26,0,0,0,0,0
1f960d4276584a60b79530354a4b7196,1,1,1,0,0,1,0,409,409,62,0,0,0,0,0
fe12aee0da8345b78861809ce2f2189f,1,1,1,0,0,1,0,407,407,36,0,0,0,0,0
229c7ef25a0b284bb8a3fb429021c6ce,1,1,1,0,0,1,0,404,404,49,0,0,0,0,2
00dfd111a7bb4c078c8bedcd386d35db,1,1,1,0,0,1,0,402,201,44,0,0,0,0,0
